stu_id,day,time
20,-60660,9
22,-48945,5
28,-2813,4
32,-11013,20
38,-89850,33
48,-29376,25
56,-59096,6
60,-38688,4
62,-9678,1
64,-71970,92
66,-243446,69
82,-48468,5
92,-39196,4
96,-269181,34
98,-19964,3
104,-119765,12
108,-111007,31
116,-129574,40
118,-1134,6
136,-32022,6
142,-144064,34
146,-149189,15
154,-11346,3
158,-4886,10
162,-310692,74
166,-576796,117
184,-71707,12
186,-24311,59
198,-19992,2
200,-68018,7
202,-1557,11
204,-1289,11
214,-11351,3
216,-20852,6
218,-177327,78
220,-29646,3
224,-596,2
230,-21856,7
232,-19914,4
236,-19968,2
238,-475919,80
250,-10454,3
254,-25537,13
260,-3978,6
266,-4710,6
268,-191412,26
270,-116942,12
272,-582673,110
276,-12909,7
278,-49282,21
282,-25548,24
290,-630972,107
294,-3960,5
296,-169967,26
298,-476990,97
304,-29975,3
308,-195813,39
310,-2124,4
318,-197856,20
320,-300936,138
322,-41834,9
324,-24497,14
330,-12393,21
344,-2606,5
346,-107508,27
348,-29673,3
352,-3450,6
354,-271522,55
366,-1164,2
372,-1884,4
376,-446250,45
384,-11704,15
386,-6319,22
388,-40924,7
390,-6756,12
394,-41276,7
396,-790,2
398,-7472,11
400,-7426,22
404,-21016,5
408,-53061,11
412,-214657,38
418,-138048,38
424,-469883,117
426,-198381,54
430,-5218,10
438,-179590,44
440,-186587,33
442,-129836,55
444,-41683,12
446,-21073,4
448,-41281,13
450,-41229,11
452,-510616,85
454,-881651,135
460,-154370,38
462,-801711,97
466,-348357,105
468,-30745,7
470,-55018,21
474,-1708,8
476,-17018,18
478,-323596,69
480,-655357,135
484,-11549,23
486,-27583,14
488,-760,4
498,-245479,68
500,-689887,162
502,-796,1
504,-143759,29
512,-49285,28
522,-41723,7
524,-3668,16
526,-215328,39
528,-48945,5
532,-1277,3
534,-51122,7
536,-69979,7
544,-19982,2
552,-310386,53
558,-2770,4
564,-20950,4
566,-155601,29
570,-48647,72
572,-9985,1
574,-49965,5
576,-7149,9
578,-35529,15
580,-19740,4
582,-39184,4
584,-51496,12
586,-148368,17
592,-19958,2
598,-93197,16
602,-51055,7
604,-10000,1
606,-9993,1
608,-196842,36
610,-4050,6
612,-218594,55
616,-19552,2
618,-35352,18
620,-53499,27
624,-224718,97
626,-63366,15
630,-262649,119
636,-5732,12
642,-680658,146
646,-25931,18
650,-63955,12
654,-80146,11
662,-61212,12
664,-172157,39
668,-45474,34
674,-1358,7
678,-195242,54
680,-98770,10
682,-421412,96
684,-44334,10
686,-103930,29
692,-74011,37
694,-99646,44
696,-72510,35
706,-50986,7
708,-99267,10
710,-80974,10
712,-161103,57
718,-81208,16
732,-1160,2
736,-3871,6
740,-29361,3
742,-73291,18
744,-261426,56
746,-21694,5
748,-7428,13
750,-861027,149
754,-449050,113
756,-1083925,244
762,-40124,5
766,-50631,7
770,-72061,10
774,-248340,25
786,-308288,81
788,-51889,9
790,-4870,12
796,-32322,10
798,-266252,44
800,-81183,11
802,-213748,54
804,-6829,12
808,-19946,2
816,-41064,16
820,-188167,26
822,-46354,21
824,-71242,30
826,-163513,56
830,-278277,45
832,-16668,15
834,-98980,29
842,-388103,132
846,-485717,105
848,-574189,116
850,-84391,37
852,-134493,23
854,-135018,47
858,-582,1
860,-1774,4
864,-15049,13
868,-108173,12
878,-125343,30
882,-170589,21
894,-19990,2
898,-760,4
900,-1393,3
902,-101446,14
908,-193330,88
914,-128442,28
916,-382595,57
922,-148402,30
924,-102349,37
928,-19566,2
932,-97994,10
934,-193662,76
936,-53855,18
940,-39890,5
942,-1800,3
944,-44654,23
948,-24634,19
950,-12470,5
952,-39566,4
954,-134691,27
956,-574,2
958,-62931,15
966,-159835,65
970,-21892,5
974,-22169,9
978,-149594,30
980,-76508,21
982,-12873,7
984,-458108,130
988,-352361,111
990,-3056,6
992,-67306,22
994,-4849,13
996,-219,3
1000,-425347,91
1002,-242447,86
1006,-1897,7
1012,-110049,14
1016,-123471,23
1024,-530510,89
1026,-1227989,214
1030,-25352,12
1036,-81104,12
1038,-35303,24
1044,-491,1
1048,-3692,6
1050,-6749,12
1052,-101554,14
1054,-1473,3
1058,-50985,8
1060,-792,4
1066,-167310,32
1068,-87351,26
1078,-68502,7
1080,-511218,141
1084,-15462,13
1092,-76549,25
1096,-149911,15
1102,-431033,57
1110,-976,2
1120,-1700,6
1124,-384,2
1128,-1808,5
1132,-90470,13
1134,-35483,10
1138,-3925,5
1140,-61425,10
1142,-82808,13
1150,-130506,44
1152,-375771,81
1154,-137192,14
1156,-57427,26
1166,-434091,44
1168,-76737,17
1170,-2336,4
1172,-1182,2
1174,-58830,6
1182,-152297,52
1184,-158424,60
1186,-29973,3
1192,-21633,20
1196,-82081,32
1198,-3312,12
1200,-2280,6
1202,-6024,11
1204,-47099,23
1206,-99710,10
1208,-14723,13
1212,-62503,11
1214,-331648,61
1216,-44644,15
1218,-9878,1
1220,-2334,4
1222,-19552,2
1224,-73506,13
1226,-162047,63
1236,-124986,38
1240,-122932,21
1246,-63210,13
1248,-271583,35
1252,-225631,42
1254,-49300,5
1256,-43707,24
1258,-44764,44
1260,-29637,3
1264,-24134,11
1266,-10361,3
1272,-3010,7
1278,-173511,55
1282,-9100,20
1286,-19788,2
1288,-501643,66
1290,-123707,27
1294,-161886,37
1296,-10468,28
1300,-3329,7
1304,-56312,30
1308,-21162,8
1312,-19988,2
1318,-384738,83
1320,-203536,33
1326,-78336,10
1328,-42875,11
1330,-29385,3
1334,-53506,15
1338,-258120,32
1342,-50696,9
1348,-39508,4
1350,-1372,2
1352,-109532,13
1354,-717093,74
1358,-655257,115
1360,-1700,7
1372,-161690,23
1378,-495777,113
1382,-163453,48
1384,-38696,4
1386,-99248,14
1392,-20930,5
1406,-349536,117
1416,-58564,6
1426,-105564,20
1430,-132911,42
1434,-33246,9
1438,-71282,48
1440,-118735,13
1452,-77288,24
1460,-428799,47
1464,-42087,89
1474,-9872,1
1478,-19742,2
1486,-149601,19
1488,-66226,19
1494,-109057,33
1498,-176642,38
1500,-134097,35
1502,-182373,53
1504,-175153,30
1506,-121042,37
1512,-21350,4
1514,-425792,116
1518,-129239,35
1520,-133662,27
1522,-193,1
1524,-88623,9
1528,-121040,18
1530,-122556,35
1532,-144691,38
1534,-63675,14
1538,-14956,10
1540,-132476,22
1542,-30046,8
1548,-158170,19
1550,-134893,24
1552,-58203,27
1554,-83945,16
1556,-94760,19
1564,-400,2
1568,-21832,6
1570,-9690,1
1576,-3323,7
1580,-596,1
1584,-71885,11
1590,-58728,6
1592,-952,2
1610,-3113,7
1614,-42791,11
1620,-122729,19
1626,-27531,21
1628,-146536,33
1634,-100046,19
1640,-10063,2
1650,-15149,29
1652,-2380,4
1654,-132031,55
1656,-80468,10
1660,-244692,37
1664,-39724,4
1666,-122213,59
1674,-189589,25
1678,-218104,22
1680,-2898,6
1682,-5354,16
1686,-71417,11
1688,-373,1
1694,-259737,82
1696,-1668,3
1698,-2845,6
1712,-305554,64
1716,-9877,1
1720,-1755,3
1722,-58104,6
1724,-9981,1
1730,-135025,23
1732,-130510,34
1734,-7836,16
1746,-6414,11
1748,-10937,5
1750,-43897,15
1752,-4556,12
1754,-61612,15
1758,-49119,28
1760,-19394,2
1770,-147276,17
1780,-45814,16
1782,-72997,16
1788,-1556,4
1790,-48911,5
1792,-1938,7
1794,-20948,4
1798,-62862,14
1802,-24084,8
1804,-20280,4
1806,-46276,16
1822,-10671,2
1824,-276350,72
1828,-110739,34
1832,-333334,88
1834,-1968,4
1836,-2334,6
1840,-3256,11
1842,-129839,18
1844,-143195,30
1848,-21668,8
1856,-55318,15
1862,-98182,37
1866,-586,2
1868,-43117,15
1876,-71784,11
1878,-14254,10
1880,-189573,21
1890,-99569,13
1900,-191114,27
1904,-77528,23
1910,-197368,20
1914,-3490,12
1924,-1520,4
1926,-541112,57
1928,-80992,10
1932,-10431,20
1938,-14264,16
1942,-217427,75
1946,-468242,94
1948,-5488,7
1950,-108222,11
1954,-42272,8
1956,-205375,49
1964,-103798,16
1968,-5836,8
1970,-87458,28
1972,-367389,44
1974,-252535,39
1980,-9971,1
1982,-19998,2
1984,-33436,10
1986,-1182,3
1990,-11033,3
1994,-10578,2
1996,-83972,32
1998,-169839,40
2002,-4672,8
2004,-1350,2
2018,-39974,30
2026,-481244,68
2030,-66486,32
2032,-61276,12
2036,-87471,33
2044,-288,4
2052,-58646,6
2056,-221387,37
2060,-131899,20
2066,-384032,80
2068,-158168,16
2070,-67703,36
2072,-208959,58
2076,-956,4
2088,-184426,34
2090,-61062,12
2092,-1540,4
2094,-33803,10
2110,-142918,21
2126,-198822,24
2128,-29376,3
2130,-100431,14
2132,-792,1
2134,-40336,25
2144,-408931,86
2148,-120305,21
2162,-172896,34
2168,-977690,143
2178,-561,3
2180,-215240,38
2192,-86988,41
2196,-61704,9
2206,-6392,18
2208,-29973,3
2214,-343528,69
2218,-180148,70
2224,-1352,2
2228,-44234,25
2230,-380,2
2232,-440324,148
2234,-19481,2
2244,-793813,220
2246,-768,9
2248,-214286,39
2250,-150106,23
2252,-8329,19
2256,-88248,23
2264,-13543,7
2266,-173950,31
2270,-62645,14
2272,-226191,23
2274,-59762,6
2278,-298090,36
2280,-106080,21
2284,-202151,31
2294,-23136,12
2298,-40007,5
2302,-188075,19
2304,-28606,15
2306,-1025,7
2308,-101148,19
2310,-81951,13
2314,-386504,103
2316,-90315,13
2318,-1639,5
2320,-42256,10
2322,-9991,1
2332,-29447,3
2334,-141093,23
2340,-321635,47
2348,-171723,26
2350,-78489,9
2354,-42232,9
2356,-59536,6
2358,-386556,50
2362,-2336,4
2364,-25553,15
2366,-266183,47
2368,-92792,24
2370,-142431,40
2372,-125725,47
2374,-165942,37
2380,-137886,15
2384,-342223,46
2388,-17066,26
2390,-825491,120
2392,-106413,28
2396,-141250,19
2402,-339437,83
2410,-245336,55
2416,-53584,11
2422,-104408,22
2424,-15139,39
2428,-88896,9
2430,-314928,64
2432,-34506,16
2434,-140081,21
2440,-232830,67
2442,-477378,78
2444,-30198,9
2452,-119849,12
2454,-2378,6
2456,-120871,16
2458,-74168,20
2460,-43515,15
2462,-300143,42
2466,-13806,28
2468,-38800,4
2474,-167490,17
2476,-12582,5
2478,-393635,64
2482,-134658,23
2484,-115720,54
2486,-443397,80
2498,-37242,16
2500,-40686,6
2504,-99530,12
2508,-204510,61
2510,-77950,8
2516,-27178,14
2518,-88845,24
2520,-211033,27
2522,-279831,48
2524,-177253,38
2530,-130086,21
2532,-195944,20
2540,-12609,19
2542,-4712,8
2552,-473943,105
2556,-172635,76
2558,-185436,32
2562,-189871,19
2572,-150785,38
2578,-87901,41
2582,-19400,2
2584,-2296,4
2586,-97788,10
2594,-112955,19
2598,-99410,12
2614,-164513,31
2616,-59946,6
2622,-279517,37
2626,-86114,28
2628,-154491,30
2630,-340752,62
2636,-134300,24
2638,-122387,51
2644,-120778,16
2648,-61309,10
2658,-154684,26
2660,-19990,2
2662,-87606,20
2664,-14334,25
2666,-96930,10
2668,-133377,57
2672,-15011,26
2674,-10214,20
2676,-87186,24
2680,-542,2
2682,-208552,37
2688,-229401,54
2690,-242575,44
2692,-107397,45
2694,-13652,8
2696,-2380,5
2700,-109486,11
2704,-182333,65
2706,-108244,33
2708,-61436,10
2710,-52028,9
2712,-53987,31
2720,-988981,171
2722,-1154,2
2728,-69017,8
2730,-42496,8
2732,-279694,72
2734,-313185,46
2738,-293022,120
2740,-9998,1
2742,-192365,24
2746,-62202,12
2758,-2596,8
2760,-28082,24
2766,-29955,3
2774,-370,2
2782,-5653,10
2788,-132814,20
2790,-1767,3
2802,-2340,3
2810,-187987,61
2812,-151967,30
2814,-16432,10
2816,-67395,30
2818,-4896,11
2826,-129348,16
2828,-41333,7
2832,-6000,12
2834,-70555,13
2836,-29142,3
2838,-216818,22
2846,-22728,8
2854,-129840,16
2856,-315654,52
2858,-21348,4
2860,-3558,7
2864,-20158,4
2866,-31145,5
2870,-11449,8
2874,-90757,25
2878,-33505,10
2880,-173468,28
2882,-776,4
2884,-31118,10
2888,-30208,5
2894,-138303,30
2898,-9797,1
2902,-35989,16
2904,-137300,37
2906,-61567,11
2908,-72164,14
2910,-776,2
2912,-4916,9
2914,-137438,14
2916,-71918,13
2922,-171161,24
2924,-29988,3
2926,-24687,13
2928,-30772,4
2930,-125468,65
2932,-64136,16
2934,-293334,40
2938,-194979,29
2946,-615362,100
2948,-2171,4
2952,-5899,25
2954,-27591,18
2958,-614012,142
2960,-414413,121
2962,-45518,23
2968,-68666,20
2970,-23078,10
2972,-93381,17
2974,-79112,26
2976,-175864,35
2978,-213126,50
2980,-160786,60
2982,-100148,16
2984,-138322,36
2990,-71546,14
2992,-421156,115
2994,-75468,40
2996,-105199,25
2998,-503714,146
3002,-208248,41
3004,-36995,35
3014,-2937,15
3016,-181452,44
3018,-122710,38
3026,-59970,6
3028,-12432,12
3032,-16603,14
3034,-83703,15
3038,-486,1
3040,-478673,62
3042,-29994,3
3046,-157122,16
3056,-64846,18
3062,-19786,2
3070,-6391,11
3078,-61656,13
3080,-1352,2
3084,-19998,2
3086,-15585,17
3090,-318884,130
3092,-29388,3
3096,-5064,8
3100,-59922,6
3104,-256551,62
3116,-42019,13
3118,-310720,71
3124,-175029,35
3126,-57202,17
3130,-94684,23
3132,-9041,25
3144,-1609,7
3146,-51501,35
3148,-44518,49
3150,-303820,83
3152,-349313,42
3156,-464701,194
3162,-342717,111
3164,-4644,10
3166,-274335,42
3168,-186487,60
3170,-3202,5
3178,-3350,19
3180,-281929,57
3182,-537583,130
3186,-10657,3
3188,-169632,21
3190,-117422,39
3194,-112015,36
3196,-159167,58
3198,-21785,7
3200,-2989,5
3204,-101429,18
3210,-157671,34
3216,-195521,50
3220,-81844,13
3222,-39572,4
3226,-568575,108
3228,-71291,11
3230,-222297,33
3232,-480281,61
3238,-50082,22
3240,-31394,8
3244,-116568,31
3250,-84505,21
3252,-14702,28
3254,-192634,52
3256,-402029,80
3258,-79370,8
3260,-269441,45
3264,-121364,16
3266,-65203,38
3272,-30512,21
3274,-10483,2
3276,-546,7
3284,-60361,11
3286,-822,3
3288,-208196,68
3292,-983051,266
3294,-31998,30
3296,-49995,5
3298,-251059,51
3300,-18867,25
3302,-104326,67
3304,-29885,26
3312,-127003,39
3316,-188734,19
3318,-170900,21
3322,-552191,134
3324,-120957,20
3326,-791,1
3328,-176523,32
3332,-115892,26
3340,-137667,37
3344,-588182,115
3346,-1150,3
3348,-19376,2
3350,-334460,112
3352,-402149,79
3358,-289702,66
3362,-209660,79
3364,-464252,70
3372,-240537,26
3376,-111399,17
3380,-69456,7
3382,-218623,57
3384,-218265,44
3386,-197545,40
3388,-318322,72
3390,-118424,34
3392,-50350,7
3394,-1200,2
3396,-566473,117
3400,-996,2
3402,-208951,82
3404,-679343,236
3406,-100321,39
3408,-184727,31
3410,-41500,8
3412,-2871,7
3416,-20116,4
3418,-4334,7
3420,-225590,38
3424,-418766,114
3426,-41693,36
3430,-39872,5
3436,-111843,16
3440,-1534,4
3442,-112085,35
3444,-585147,141
3446,-210644,44
3448,-103853,20
3450,-389,1
3456,-19992,2
3458,-211451,44
3460,-477,1
3462,-193240,30
3464,-323462,42
3482,-255312,51
3488,-85003,40
3490,-297703,34
3492,-225385,37
3496,-107547,34
3500,-517418,123
3506,-292212,56
3512,-3809,13
3516,-739987,114
3518,-3686,6
3520,-63153,26
3522,-294,1
3524,-341778,43
3530,-199100,40
3532,-123341,23
3534,-335894,51
3538,-526304,130
3542,-1797,3
3546,-47160,23
3556,-9798,1
3560,-62586,11
3564,-128785,13
3566,-9492,12
3568,-258995,65
3572,-116061,26
3576,-264274,61
3578,-337367,67
3580,-82763,16
3584,-79978,25
3594,-9990,1
3600,-701117,153
3602,-12415,20
3604,-776595,114
3614,-33372,11
3620,-6659,19
3626,-358921,85
3628,-1172,2
3632,-23291,7
3636,-71483,10
3638,-3674,6
3640,-102592,19
3642,-19394,2
3644,-149286,31
3646,-93888,16
3648,-106683,30
3650,-319652,55
3652,-42912,10
3656,-48788,19
3658,-32475,14
3664,-9872,1
3666,-30309,4
3668,-4108,7
3670,-118941,32
3682,-488466,79
3684,-215170,40
3686,-5148,8
3690,-94687,26
3692,-361568,143
3694,-95191,31
3696,-126610,45
3698,-13813,21
3700,-23562,13
3702,-68697,23
3704,-62872,14
3706,-613991,106
3708,-792038,132
3710,-63562,14
3712,-286098,29
3714,-8901,32
3716,-39843,4
3718,-170806,52
3724,-121291,37
3726,-76195,34
3728,-73938,20
3732,-93239,16
3738,-1281,3
3742,-163490,30
3744,-72534,13
3750,-71692,13
3754,-470075,139
3756,-330364,43
3760,-112752,19
3762,-19988,2
3764,-125087,24
3766,-141206,20
3768,-544,2
3772,-12493,6
3774,-589454,99
3776,-130526,39
3780,-67073,22
3782,-73900,15
3784,-118453,27
3786,-651253,110
3790,-188231,20
3796,-112901,36
3800,-12284,6
3802,-169602,35
3804,-200520,27
3808,-27948,20
3812,-794,2
3816,-77016,24
3818,-366591,141
3822,-95435,25
3824,-102844,40
3826,-220680,91
3828,-552246,130
3830,-473686,75
3832,-209236,63
3838,-82024,37
3844,-275739,47
3846,-138411,19
3850,-129984,38
3852,-90225,42
3858,-4815,11
3860,-142663,22
3862,-65476,22
3870,-757895,127
3872,-190265,23
3874,-5888,12
3876,-170355,22
3878,-2934,4
3892,-39132,4
3896,-721922,158
3902,-19998,2
3904,-49390,5
3910,-62872,15
3912,-1572,4
3914,-184743,28
3916,-238676,30
3920,-196074,37
3922,-19572,2
3930,-445516,45
3944,-237537,50
3948,-212561,67
3950,-58670,22
3954,-34512,14
3958,-529622,103
3960,-577718,154
3962,-382108,63
3964,-159434,18
3968,-4937,8
3972,-262985,88
3978,-588,1
3980,-255055,54
3982,-100126,17
3984,-172592,43
3986,-297807,65
3988,-99298,27
3990,-302714,100
3992,-30270,5
4002,-421428,54
4004,-424573,76
4008,-64359,21
4020,-347561,82
4022,-684359,174
4024,-374432,54
4030,-566,2
4032,-189648,20
4034,-79316,8
4036,-364045,79
4040,-347988,62
4042,-344871,112
4046,-288492,37
4050,-196076,42
4068,-20714,4
4072,-239802,50
4074,-79511,47
4082,-162208,29
4084,-109992,24
4090,-126696,40
4106,-649988,150
4112,-3115,7
4116,-200079,49
4122,-83885,53
4126,-59730,6
4132,-25455,10
4136,-156738,16
4140,-164609,72
4142,-112830,65
4144,-149406,53
4160,-157954,16
4162,-142363,41
4164,-454824,99
4166,-39766,4
4172,-146086,25
4178,-411252,68
4182,-269897,73
4186,-100607,14
4190,-231328,28
4192,-29740,3
4194,-675,1
4198,-11068,3
4210,-42334,8
4214,-32292,9
4216,-39988,4
4230,-39386,4
4236,-468134,76
4238,-5387,7
4242,-306523,49
4244,-82049,57
4246,-470095,140
4248,-114187,23
4250,-135771,27
4254,-8280,20
4258,-119735,27
4262,-1162,2
4264,-1259,4
4266,-2340,4
4268,-239714,31
4274,-20578,3
4282,-3207,7
4292,-147665,17
4298,-787,1
4306,-20752,4
4314,-269663,57
4320,-20466,3
4322,-75727,21
4326,-12266,6
4332,-69862,7
4336,-140432,16
4344,-49934,5
4348,-331042,39
4350,-52078,9
4354,-68125,20
4356,-960,2
4362,-6953,19
4366,-5015,12
4372,-19596,2
4374,-39964,4
4376,-9464,14
4380,-175771,32
4386,-2361,3
4388,-50385,9
4394,-19644,2
4396,-1556,4
4398,-78184,8
4400,-83394,36
4404,-561,3
4410,-879,3
4416,-138417,21
4418,-40649,27
4420,-795,1
4422,-642137,110
4424,-2762,4
4426,-514093,107
4428,-320313,68
4432,-572218,128
4434,-274810,86
4436,-99258,12
4442,-299187,74
4448,-555686,127
4452,-418131,62
4454,-793638,161
4456,-439179,76
4458,-702671,140
4460,-91677,12
4462,-59560,6
4464,-314709,53
4472,-242251,59
4476,-119002,48
4478,-98302,46
4480,-2361,3
4482,-104051,38
4484,-213477,53
4488,-347918,52
4494,-120544,17
4496,-909436,184
4498,-169269,20
4500,-281368,45
4502,-90244,25
4504,-243113,39
4506,-12889,5
4510,-39741,20
4512,-1144,2
4516,-342428,75
4524,-584577,101
4528,-212960,49
4530,-187863,34
4532,-41367,8
4538,-74036,21
4540,-258662,46
4542,-742421,124
4544,-136208,28
4546,-358518,76
4548,-301297,66
4550,-2804,5
4552,-1174,2
4556,-294943,47
4560,-3532,6
4564,-39764,4
4566,-22994,7
4568,-549849,120
4570,-13936,36
4576,-91766,15
4584,-19352,2
4590,-21823,5
4592,-180856,28
4594,-98906,12
4596,-123396,24
4602,-38011,19
4604,-52133,9
4606,-57609,43
4610,-61674,12
4612,-2465,5
4614,-141708,41
4616,-368379,61
4618,-166534,50
4622,-337582,73
4626,-276168,57
4628,-26714,14
4636,-114271,24
4644,-110018,15
4648,-11219,21
4654,-198885,53
4656,-140174,17
4658,-240182,32
4662,-45788,27
4664,-239063,82
4670,-743664,110
4674,-295764,62
4676,-131023,20
4678,-1519,4
4680,-9699,1
4688,-626947,95
4690,-67689,26
4692,-295171,46
4694,-125992,31
4696,-642027,138
4698,-39594,4
4700,-227679,61
4702,-114618,24
4704,-115452,34
4708,-122763,24
4710,-119822,14
4712,-10673,2
4714,-19962,2
4718,-11526,9
4724,-177940,49
4730,-1216151,189
4732,-465436,82
4734,-30912,7
4742,-337964,91
4746,-570616,104
4748,-1232,5
4750,-234630,52
4760,-56563,18
4764,-1143,3
4766,-112237,19
4770,-471690,74
4774,-110442,15
4776,-51259,8
4778,-117777,28
4780,-161138,43
4788,-19990,2
4794,-22228,8
4798,-9999,1
4800,-52108,15
4804,-49938,28
4812,-29349,3
4818,-11052,3
4822,-3868,12
4828,-1479,3
4830,-95558,101
4836,-165677,51
4838,-149653,65
4846,-34945,10
4848,-116943,45
4850,-217701,57
4860,-2320,8
4862,-20756,4
4864,-23359,9
4866,-323152,85
4868,-29997,3
4872,-21932,8
4876,-191267,44
4878,-165922,61
4880,-341357,55
4882,-68574,49
4888,-45149,15
4892,-59116,49
4894,-9512,18
4898,-346241,58
4900,-63168,25
4908,-156758,30
4910,-207731,42
4912,-39271,5
4916,-3486,6
4922,-145692,29
4926,-9992,1
4928,-209441,42
